"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17912380476180805,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Nggak usah repot-repot ngintip, mending langsung bungkus Apple Watch-nya! 🏃💨
Promo Apple Watch SE 3: (40mm) 3.3jt & (44mm) 3.9jt. Stok Terbatas!
Hayo ngaku, kalian tadi udah mikir yang aneh-aneh ya pas di awal video? 😜

Bingung mau Upgrade HP tapi HP lama gak terpakai?
Jangan khawatir! Bawa saja ke Pura Pura Ponsel
Kami terima Tukar Tambah semua kondisi dan series!

✅ Series Terlama? Bisa!
✅ Android ke iPhone? Bisa Banget!
✅ KREDIT DP & BUNGA 0% (S&K Berlaku)
✅ BISA SPLIT PAYMENT
✅ BANYAK BENEFIT eksklusif lainnya!

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",19,"04/20/2026 18:01",https://www.instagram.com/reel/DXX-CE3jYLr/,"IG reel",,Lifetime,122528,60567,660,261,1,29,75
18085510631549724,17841401356087722,ogohogohdenpasar,"Ogoh Ogoh Denpasar, Bali","YANG MANA OGOH-OGOH PALING GANTENG MENURUT SEMETON?

#ogohogoh #ogohogohbali #ogohogohdenpasar #ogohogohganteng #ogohogoh2026",72,"06/29/2026 07:47",https://www.instagram.com/reel/DaLHBP2Bfkm/,"IG reel",,Lifetime,20619,,505,14,,6,0
18142071874543584,17841401356087722,ogohogohdenpasar,"Ogoh Ogoh Denpasar, Bali","YANG MANA OGOH-OGOH PALING CANTIK MENURUT SEMETON? 

#ogohogoh #ogohogohbali #ogohogohdenpasar #ogohogohcantik #ogohogoh2026",92,"06/28/2026 03:28",https://www.instagram.com/reel/DaIE4ZYhX0M/,"IG reel",,Lifetime,30739,,564,16,,4,0
18429692905193083,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","VIRAL‼️ staf toko di labrak oleh customer karena merasa cemburu pacarnya di godain

Kejadian di salah satu toko denpasar!",59,"06/27/2026 23:32",https://www.instagram.com/reel/DaHprIDTnO6/,"IG reel",,Lifetime,3747,3255,71,0,8,1,0
18175177909418821,17841453969800524,rumahanakseni.id,"PT Rumah Anak Seni","Wkwkwk bungker sajan bocil-bocil ini, tapi keren 🫵🤩

Take video by Iphone 17PM from @purapura.ponsel 
#pestakesenianbali #bali #rumahanakseni #balinggih",153,"06/25/2026 20:06",https://www.instagram.com/reel/DaCIPDbpJjG/,"IG reel",,Lifetime,33992,,516,14,,19,0
18114128468501722,17841453969800524,rumahanakseni.id,"PT Rumah Anak Seni","Wayah ramene jon 🫵😭

Take video by Iphone 17 PM from @purapura.ponsel 
#pestakesenianbali #bali #balinggih #rumahanakseni",34,"06/25/2026 08:41",https://www.instagram.com/reel/DaA6PKGp5rZ/,"IG reel",,Lifetime,81940,,1778,23,,11,0
18083858819532869,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","✨ Gak Sabar Pengen Punya iPhone 16e? Pre-Order Sekarang di Pura Pura Ponsel! ✨

Kenapa harus di Pura Pura Ponsel ? 
🎁 Bergaransi resmi
🎁 Kualitas barang sama
🎁 Bisa kredit, dapatkan PROMO Bunga dan DP 0%
🎁 Bisa SPLIT PAYMENT
🎁 After Sales ( yang pastinya fast response dan dibantu jika terjadi kendala )
🎁 Dibantu pemindahan data, jika diperlukan

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",0,"06/25/2026 06:58",https://www.instagram.com/p/DaAupaDk3N8/,"IG carousel",,Lifetime,17539,5892,49,10,0,0,0
18113168266921313,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Mengenal ""Ica"" 🐖babi viral yang lagi jadi pusat perhatian. Rencananya babi ini bakal diundi buat diserahin ke pemilik barunya yang siap merawat dengan penuh kasih sayang. Tapi sebelum diundi, Ica udah bikin kejutan duluan nih di akhir video! Ada yang minat adopsi Ica?🐖

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",27,"06/23/2026 23:39",https://www.instagram.com/reel/DZ9Xl9SDyJT/,"IG reel",,Lifetime,76456,52674,931,187,11,62,24
17999089478959580,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Perjuangan demi ngasih yang terbaik buat kalian di Hari Raya Galungan & Kuningan nih!
Udah ditangkap, malah celengnya pipis sembarangan lagi... 😂

Eitss.. celeng ini bakal kita UNDI GRATIS spesial buat kalian yang udah ikutan belanja di Bazar Buah Murah kemarin!

⏰ LIVE UNDIAN: Hari ini jam 2 siang di TikTok dan Instagram Pura Pura Ponsel! Jangan sampai kelewatan ya, siapa tahu babi ini jodoh kamu! 🐖

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",25,"06/23/2026 23:25",https://www.instagram.com/reel/DZ9V8vRivlv/,"IG reel",,Lifetime,29154,19474,156,31,2,2,3
18089449715379847,17841401356087722,ogohogohdenpasar,"Ogoh Ogoh Denpasar, Bali","INI DIA OGOH-OGOH DUTA KOTA DENPASAR SETIAP TAHUNNYA PADA PEMBUKAAN PESTA KESENIAN BALI @stt.belaluansadmerta @st.tunasmuda @rrjk_geladag @st.gemehindah @purapura.ponsel 

2023 - BANJAR BELALUAN SADMERTA
2024 - BANJAR DUKUH MERTAJATI
2025 - BANJAR GELADAG
2026 - BANJAR GEMEH

#ogohogoh #ogohogohbali #ogohogohdenpasar #ogohogoh2026 #pestakesenianbali",85,"06/23/2026 02:09",https://www.instagram.com/reel/DZ7DNQOBpJu/,"IG reel",,Lifetime,23459,,338,5,,2,0
